,pretty_formula,composition,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,PymatgenData mean X,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev group,PymatgenData mean block,PymatgenData std_dev block,PymatgenData mean atomic_mass,PymatgenData std_dev atomic_mass,PymatgenData mean atomic_radius,PymatgenData std_dev atomic_radius,PymatgenData mean mendeleev_no,PymatgenData std_dev mendeleev_no,PymatgenData mean electrical_resistivity,PymatgenData mean thermal_conductivity,PymatgenData std_dev thermal_conductivity,PymatgenData mean melting_point,PymatgenData std_dev melting_point,Miedema_deltaH_amor,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,Yang omega,Yang delta,Miedema_deltaH_ami,Miedema_deltaH_am_min
716,Ir7Ni30Ta63,Ir7 Ni30 Ta63,0.001477211,0.003504083,0.01790838,1.672,0.329412199,6.78,3.275251552,3,0,145.0603744,79.41174688,1.413,0.067725747,57.48,10.03629776,1.10E-07,73.71,36.3908421,2782.83,987.9078633,-0.321383067,0.120627262,0,0.288299156,0.591073583,0.620445882,0.06199304,0.131983418,-0.075637907
717,Ir7Ni31Ta62,Ir7 Ni31 Ta62,0.002933058,0.003226026,0.008634594,1.6761,0.328109774,6.83,3.275502353,3,0,143.8378296,79.654357,1.412,0.067663234,57.63,10.03037555,1.09E-07,74.05,36.16603279,2767.21,989.9360725,-0.329460553,0.121285628,0,0.292904791,0.585809582,0.617675298,0.062566952,0.133322292,-0.081523234
718,Ir7Ni32Ta61,Ir7 Ni32 Ta61,0.004388664,0.004388664,0.015112987,1.6802,0.326861112,6.88,3.275539446,3,0,142.6152848,79.88505214,1.411,0.067599758,57.78,10.0241353,1.09E-07,74.39,35.95302298,2751.59,991.8190348,-0.337302051,0.12195122,0,0.297560976,0.580487805,0.614987121,0.06310874,0.13465839,-0.087303383
719,Ir7Ni33Ta60,Ir7 Ni33 Ta60,0.005844029,0.005844029,0.004714045,1.6843,0.325661943,6.93,3.275370234,3,0,141.39274,80.10484049,1.41,0.067535201,57.93,10.01757293,1.08E-07,74.73,35.75107943,2735.97,993.566677,-0.344890274,0.122624157,0,0.302268547,0.575107296,0.612385091,0.063619001,0.135981787,-0.092961764
720,Ir7Ni34Ta59,Ir7 Ni34 Ta59,0.007299154,0.007299154,0.012472191,1.6884,0.324508371,6.98,3.275000826,3,0,140.1701952,80.31462895,1.409,0.067469448,58.08,10.01068304,1.07E-07,75.07,35.55953888,2720.35,995.1878075,-0.352207691,0.123304562,0,0.30702836,0.569667078,0.609872615,0.064098258,0.137282435,-0.098481582
721,Ir7Ni35Ta58,Ir7 Ni35 Ta58,0.008754037,0.008754037,0.026246693,1.6925,0.323396829,7.03,3.274436152,3,0,138.9476504,80.51523618,1.408,0.067402381,58.23,10.00345893,1.07E-07,75.41,35.37780057,2704.73,996.6902493,-0.359236616,0.12399256,0,0.31184129,0.56416615,0.607452855,0.064546975,0.138550244,-0.103845929
722,Ir7Ni36Ta57,Ir7 Ni36 Ta57,0.01020868,0.01020868,0.04027682,1.6966,0.322324038,7.08,3.27368006,3,0,137.7251056,80.70740378,1.407,0.067333879,58.38,9.995892608,1.06E-07,75.75,35.20531976,2689.11,998.0809536,-0.365959311,0.124688279,0,0.316708229,0.558603491,0.605128791,0.064965558,0.139775149,-0.109037889
723,Ir7Ni37Ta56,Ir7 Ni37 Ta56,0.011663083,0.011663083,0.054365021,1.7007,0.321286977,7.13,3.272735387,3,0,136.5025608,80.89180593,1.406,0.067263821,58.53,9.987974775,1.06E-07,76.09,35.04160216,2673.49,999.3660954,-0.372358077,0.12539185,0,0.321630094,0.552978056,0.602903293,0.065354357,0.140947184,-0.114040627
724,Ir7Ni38Ta55,Ir7 Ni38 Ta55,0.013117245,0.013117245,0.068475462,1.7048,0.320282847,7.18,3.271604029,3,0,135.280016,81.06905757,1.405,0.06719208,58.68,9.979694817,1.05E-07,76.43,34.886199,2657.87,1000.551155,-0.378415363,0.126103405,0,0.326607818,0.547288777,0.60077917,0.065713671,0.142056557,-0.118837498
725,Ir7Ni39Ta54,Ir7 Ni39 Ta54,0.014571166,0.014571166,0.082596745,1.7089,0.319309051,7.23,3.27028698,3,0,134.0574712,81.2397216,1.404,0.067118527,58.83,9.971040767,1.04E-07,76.77,34.73870285,2642.25,1001.640989,-0.384113852,0.126823082,0,0.331642359,0.541534559,0.598759223,0.066043753,0.143093725,-0.123412144
