,pretty_formula,composition,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,PymatgenData mean X,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev group,PymatgenData mean block,PymatgenData std_dev block,PymatgenData mean atomic_mass,PymatgenData std_dev atomic_mass,PymatgenData mean atomic_radius,PymatgenData std_dev atomic_radius,PymatgenData mean mendeleev_no,PymatgenData std_dev mendeleev_no,PymatgenData mean electrical_resistivity,PymatgenData mean thermal_conductivity,PymatgenData std_dev thermal_conductivity,PymatgenData mean melting_point,PymatgenData std_dev melting_point,Miedema_deltaH_amor,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,Yang omega,Yang delta,Miedema_deltaH_ami,Miedema_deltaH_am_min
537,La5Al42C53,La5 Al42 C53,-0.01021569,0.013168723,0.004648295,2.0827,0.690909544,13.03,3.19926292,2.05,0.296530599,24.64319071,37.00333782,0.9935,0.469413898,85.6,19.16142769,5.34E-06,173.55,80.16259278,2465.7074,1929.248025,1.098505633,0.566572238,0.419263456,0.014164306,0,0.368594645,0.326687843,0.184428413,-0.341985121
538,La5Al43C52,La5 Al43 C52,-0.016214466,0.018599662,0.01126365,2.0733,0.689583816,13.02,3.190612383,2.05,0.295983191,24.7928991,36.89597024,0.999,0.46808706,85.45,19.09746594,5.24E-06,174.5,80.30913621,2437.0421,1928.008883,1.062420306,0.568181818,0.417613636,0.014204545,0,0.365293593,0.324673484,0.182680172,-0.34145655
539,La5Al44C51,La5 Al44 C51,-0.000414087,0.020238704,0.025142255,2.0639,0.688282358,13.01,3.18311447,2.05,0.295547441,24.94260748,36.80148992,1.0045,0.466818735,85.3,19.03858763,5.14E-06,175.45,80.46329964,2408.3768,1926.702466,1.026933223,0.56980057,0.415954416,0.014245014,0,0.362008999,0.32257871,0.180774759,-0.340493813
540,La5Al45C50,La5 Al45 C50,-0.005790502,0.020357917,0.039209643,2.0545,0.687002197,13,3.176750402,2.05,0.295221888,25.09231587,36.71967107,1.01,0.465606047,85.15,18.98466305,5.04E-06,176.4,80.62530848,2379.7115,1925.326344,0.992020727,0.571428571,0.414285714,0.014285714,0,0.358742014,0.320404701,0.178724298,-0.339119155
541,La5Al46C49,La5 Al46 C49,-0.011162208,0.020245814,0.053316595,2.0451,0.685740473,12.99,3.171505371,2.05,0.29500545,25.24202426,36.6503328,1.0155,0.464446364,85,18.93558153,4.94E-06,177.35,80.79541703,2351.0462,1923.877794,0.957658817,0.573065903,0.41260745,0.014326648,0,0.355493666,0.318152507,0.176541679,-0.337355468
542,La5Al47C48,La5 Al47 C48,-0.016529205,0.019902398,0.046851486,2.0357,0.684494417,12.98,3.167368408,2.05,0.294897409,25.39173264,36.59333762,1.021,0.46333728,84.85,18.89125057,4.84E-06,178.3,80.97390984,2322.3809,1922.353778,0.923823357,0.574712644,0.41091954,0.014367816,0,0.352264883,0.315823056,0.174240387,-0.335226087
543,La5Al48C47,La5 Al48 C47,-0.021891493,0.021891493,0.032923405,2.0263,0.68326133,12.97,3.164332299,2.05,0.294897409,25.54144103,36.54859037,1.0265,0.462276597,84.7,18.85159526,4.74E-06,179.25,81.16110324,2293.7156,1920.750929,0.890490273,0.576368876,0.409221902,0.014409222,0,0.349056502,0.313417151,0.171834344,-0.332754597
544,La5Al49C46,La5 Al49 C46,-0.027249072,0.027249072,0.019309052,2.0169,0.682038564,12.96,3.162393535,2.05,0.29500545,25.69114941,36.51603754,1.032,0.461262308,84.55,18.8165577,4.64E-06,180.2,81.35734727,2265.0503,1919.06552,0.857635748,0.578034682,0.407514451,0.014450867,0,0.345869289,0.310935472,0.169337756,-0.32996465
545,La5Al50C45,La5 Al50 C45,-0.032601942,0.032601942,0.007856742,2.0075,0.680823503,12.95,3.161552284,2.05,0.295221888,25.8408578,36.49566701,1.0375,0.460292587,84.4,18.78609675,4.54E-06,181.15,81.56302792,2236.385,1917.293439,0.825236403,0.579710145,0.405797101,0.014492754,0,0.34270395,0.308378578,0.166764968,-0.326879796
546,La5Al51C44,La5 Al51 C44,-0.036263333,0.03747937,0.012272623,1.9981,0.679613543,12.94,3.161812414,2.05,0.295547441,25.99056619,36.48750809,1.043,0.459365778,84.25,18.76018787,4.44E-06,182.1,81.77856969,2207.7197,1915.430153,0.793269476,0.581395349,0.404069767,0.014534884,0,0.33956114,0.305746905,0.164130329,-0.323523314
547,La5Al52C43,La5 Al52 C43,-0.041597409,0.042264361,0.014142136,1.9887,0.678406075,12.93,3.163181539,2.05,0.295983191,26.14027457,36.49163205,1.0485,0.458480382,84.1,18.73882306,4.34E-06,183.05,82.00443866,2179.0544,1913.47067,0.761712987,0.583090379,0.402332362,0.014577259,0,0.336441482,0.303040766,0.161448061,-0.319918063
548,La5Al53C42,La5 Al53 C42,0.040791469,0.040791469,0.024494897,1.9793,0.677198464,12.92,3.165671102,2.05,0.296530599,26.28998296,36.50815298,1.054,0.457635052,83.95,18.72201107,4.25E-06,184,82.24114586,2150.3891,1911.409495,0.7305459,0.584795322,0.400584795,0.014619883,0,0.333345567,0.300260349,0.15873215,-0.31608634
549,La5Al54C41,La5 Al54 C41,0.035068125,0.035499345,0.037416574,1.9699,0.675988031,12.91,3.169296501,2.05,0.297191515,26.43969134,36.53722906,1.0595,0.456828587,83.8,18.70977773,4.15E-06,184.95,82.48925125,2121.7238,1909.240578,0.699748279,0.586510264,0.398826979,0.014662757,0,0.330273975,0.297405716,0.155996231,-0.312049738
550,La5Al55C40,La5 Al55 C40,0.029339857,0.030320163,0.042491829,1.9605,0.674772028,12.9,3.174077245,2.05,0.297968198,26.58939973,36.57906432,1.065,0.456059924,83.65,18.7021664,4.05E-06,185.9,82.74936824,2093.0585,1906.957256,0.66930144,0.588235294,0.397058824,0.014705882,0,0.327227276,0.294476799,0.153253492,-0.307829025
551,La5Al56C39,La5 Al56 C39,0.023606666,0.025136058,0.028963579,1.9511,0.673547621,12.89,3.180037159,2.05,0.298863335,26.73910812,36.63391082,1.0705,0.455328137,83.5,18.69923867,3.95E-06,186.85,83.02216884,2064.3932,1904.552186,0.639188097,0.589970501,0.395280236,0.014749263,0,0.324206042,0.291473395,0.150516586,-0.303444017
552,La5Al57C38,La5 Al57 C38,0.019648798,0.019648798,0.016499158,1.9417,0.67231186,12.88,3.187204634,2.05,0.299880072,26.8888165,36.70207136,1.076,0.454632431,83.35,18.70107526,3.85E-06,187.8,83.30838955,2035.7279,1902.017266,0.609392514,0.591715976,0.393491124,0.014792899,0,0.321210859,0.288395167,0.147797542,-0.298913462
553,La5Al58C37,La5 Al58 C37,0.013915336,0.018292005,0.010274023,1.9323,0.671061659,12.87,3.195612931,2.05,0.301022041,27.03852489,36.78390282,1.0815,0.453972146,83.2,18.70777708,3.75E-06,188.75,83.60883811,2007.0626,1899.343543,0.579900651,0.59347181,0.391691395,0.014836795,0,0.318242333,0.28524163,0.145107692,-0.294254921
554,La5Al59C36,La5 Al59 C36,0.008176951,0.018966225,0.011436601,1.9229,0.669793761,12.86,3.205300535,2.05,0.302293401,27.18823327,36.87982004,1.087,0.453346753,83.05,18.71946661,3.65E-06,189.7,83.9244012,1978.3973,1896.521114,0.550700322,0.595238095,0.389880952,0.014880952,0,0.315301098,0.282012152,0.142457596,-0.289484656
555,La5Al60C35,La5 Al60 C35,0.002433643,0.019958127,0.014997116,1.9135,0.668504707,12.85,3.216311582,2.05,0.30369888,27.33794166,36.99030051,1.0925,0.452755855,82.9,18.73628949,3.55E-06,190.65,84.25605334,1949.732,1893.539001,0.521781356,0.597014925,0.388059701,0.014925373,0,0.312387831,0.278705944,0.139856965,-0.284617508
556,La5Al61C34,La5 Al61 C34,-0.003314589,0.021582072,0.026814756,1.9041,0.667190802,12.84,3.228696361,2.05,0.305243827,27.48765005,37.11588986,1.098,0.452199194,82.75,18.75841645,3.45E-06,191.6,84.60486702,1921.0667,1890.385012,0.493135772,0.598802395,0.386227545,0.01497006,0,0.309503256,0.275322049,0.137314595,-0.279666775
557,La5Al62C33,La5 Al62 C33,-0.009067743,0.023415911,0.040164024,1.8947,0.665848068,12.83,3.242511894,2.05,0.306934272,27.63735843,37.25720832,1.1035,0.451676655,82.6,18.78604561,3.35E-06,192.55,84.97202447,1892.4014,1887.045579,0.464757968,0.600600601,0.384384384,0.015015015,0,0.30664816,0.271859333,0.134838284,-0.27464408
