,pretty_formula,D_max,composition,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,PymatgenData mean X,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev group,PymatgenData mean block,PymatgenData std_dev block,PymatgenData mean atomic_mass,PymatgenData std_dev atomic_mass,PymatgenData mean atomic_radius,PymatgenData std_dev atomic_radius,PymatgenData mean mendeleev_no,PymatgenData std_dev mendeleev_no,PymatgenData mean electrical_resistivity,PymatgenData mean thermal_conductivity,PymatgenData std_dev thermal_conductivity,PymatgenData mean melting_point,PymatgenData std_dev melting_point,Miedema_deltaH_amor,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,Yang omega,Yang delta,Miedema_deltaH_ami,Miedema_deltaH_am_min
355,La60 Al25 Co15,4,La60 Al25 Co15,0.002624924,0.023622437,0.035355339,1.3445,0.416992125,6.4,5.826314954,2.75,0.581238194,98.9286459,67.02063492,1.685,0.437591689,49.4,27.75179566,3.85E-07,81.55,125.6137903,1214.3675,344.7838732,-0.523109566,0.512820513,0.064102564,0.423076923,0,0.297973512,0.156085876,0.089646957,-0.174036251
356,La60Al28Ga2C10,4,La60 Al28 Ga2 C10,-0.028095975,0.029447955,0.032390353,1.402,0.605304323,7.1,6.773604109,2.6,0.659858805,93.49364281,75.61154998,1.616,0.587644927,53.32,33.9709173,1.38E-06,88.18,133.104521,1363.2298,1115.086176,-0.285419936,0.606060606,0.151515152,0.242424242,0,0.184988985,0.216994482,0.094891281,-0.173744836
357,La65 Al10 Cu25,4,La65 Al10 Cu25,0.011179263,0.020769478,0.053033009,1.351,0.493540452,6,5.80201399,2.9,0.422158527,108.8732094,59.21135816,1.73,0.423563384,47.45,27.87338771,4.07E-07,131.95,236.3985035,1208.2395,162.2284659,-0.293513472,0.35,0.02,0.63,0,0.364250004,0.163604157,0.059567179,-0.065332024
358,La65 Al15 Co20,4,La65 Al15 Co20,0.016268421,0.017706513,0.046770717,1.3325,0.455044541,5.7,5.380655751,2.85,0.497566896,106.1224253,63.6042054,1.725,0.429212419,46.25,25.99430483,4.16E-07,63.7,110.9177076,1269.0705,369.8376767,-0.407766955,0.476190476,0.035714286,0.488095238,0,0.360567961,0.159304421,0.076919136,-0.091760728
359,La65 Al20 Co15,4,La65 Al20 Co15,0.011687699,0.019334202,0.061237244,1.319,0.43021557,5.9,5.743717547,2.8,0.557386411,104.5248425,66.57648277,1.72,0.438665231,47.05,27.46745647,4.14E-07,70.45,122.2098108,1227.344,346.6494378,-0.449589713,0.512820513,0.051282051,0.435897436,0,0.315507703,0.15218242,0.079140408,-0.087371966
360,Mg66Zn30Ca4,4,Mg66 Zn30 Ca4,-0.013882046,0.013882046,0.034880087,1.3996,0.253969501,5,6.664551272,1.6,1.332910254,37.26712,27.16110172,1.467,0.139955577,71.62,16.62996806,4.84E-08,149.6,30.36161081,861.584,169.7067845,-0.036334244,0.4,0,0.6,0,1.12690052,0.083335686,0.036153626,0.036153626
361,Mg70Ca5Zn25,4,Mg70 Ca5 Zn25,-0.018755419,0.022924451,0.020721073,1.3795,0.254729422,4.5,6.491134836,1.5,1.298226967,35.36965,26.49560493,1.4775,0.14702098,70.9,18.97899489,4.75E-08,152,30.57501367,875.02,169.6191716,-0.038119175,0.444444444,0,0.555555556,0,1.145005312,0.08431636,0.036688674,0.024171122
362,Ca40Mg25Cu35,4,Ca40 Mg25 Cu35,-0.024502148,0.024502148,0.034246744,1.3925,0.484049001,5.15,5.304110461,1.7,1.178691214,44.34855,19.01067371,1.5675,0.2450074,49.85,34.1533922,3.06E-08,260,128.4077475,1151.9695,208.5109021,-0.158491065,0.32038835,0,0.67961165,0,0.964466515,0.197615145,0.0664773,-0.005541611
363,Ca57Mg19Cu24,4,Ca57 Mg19 Cu24,0.020723292,0.020723292,0.058754328,1.2749,0.485583336,4.16,5.041008303,1.48,1.120224067,42.71345,17.22507869,1.635,0.257247878,40.27,36.64923828,3.19E-08,240.4,119.278879,1136.7848,188.5733376,-0.108044329,0.423076923,0,0.576923077,0,0.901325407,0.180869554,0.052658847,-0.098527398
364,Ca60Mg15Al10Zn15,4,Ca60 Mg15 Al10 Zn15,-0.0033772,0.007895355,0.033333333,1.205,0.353190586,4.6,5.896543968,1.4,0.960768923,40.20205386,16.05031641,1.6325,0.280624304,39.95,38.41624256,3.87E-08,185.5,43.60369309,1004.699,200.0501256,-0.095993035,0.555555556,0.027777778,0.416666667,0,0.603762928,0.148968126,0.042861592,-0.020062023
365,Ca60Mg20Ag20,4,Ca60 Mg20 Ag20,-0.00620681,0.00620681,0.030618622,1.248,0.483100108,3.8,4.810702354,1.4,1.069044968,50.48144,39.20250049,1.7,0.169030851,38.4,36.67034614,3.25E-08,238,129.9450433,1100.586,133.9088015,-0.23899964,0.473684211,0,0.526315789,0,0.485225107,0.135239402,0.061985208,-0.060173073
366,Ca60Mg20Cu20,4,Ca60 Mg20 Cu20,0.006669204,0.008365446,0.05756396,1.242,0.468004884,3.8,4.810702354,1.4,1.069044968,41.617,16.77255356,1.65,0.253546276,38.6,36.99034623,3.26E-08,232,114.1427677,1125.154,184.4739183,-0.091614842,0.473684211,0,0.526315789,0,0.925972355,0.170867586,0.049655738,-0.065644761
367,Ca60Mg20Zn20,4,Ca60 Mg20 Zn20,-0.007494794,0.008367439,0.030618622,1.192,0.345522379,4,5.345224838,1.4,1.069044968,41.9896,17.64911994,1.65,0.253546276,39.4,38.31821648,4.12E-08,176,42.76179871,992.136,223.3993621,-0.09367711,0.5,0,0.5,0,0.556705919,0.142706832,0.045169642,-0.04911948
368,Ca65Mg15Cu20,4,Ca65 Mg15 Cu20,-0.000971448,0.004355641,0.046473254,1.2265,0.492886781,3.8,5.016477703,1.4,1.114772823,42.40565,16.60796274,1.665,0.263564071,35.75,37.50695728,3.21E-08,234,117.2831608,1134.754,181.2943434,-0.083371285,0.473684211,0,0.526315789,0,0.88406041,0.16954725,0.048456993,-0.069024589
369,Mg66Zn30Ca2.5Sr1.5,4,Mg66 Zn30 Ca2.5 Sr1.5,-0.014843588,0.014843588,0.044158804,1.39885,0.256402248,5,6.659271582,1.6,1.331854316,37.98025,28.55772537,1.47,0.158188991,71.605,16.72341569,4.99E-08,147.125,35.25580756,860.609,166.8624476,-0.035392458,0.4,0,0.6,0,1.188757797,0.087294963,0.035347518,0.035347518
371,Pt53.38Si6.4B24Cu13.22Ge3,3.5,Pt53.38 Si6.4 B24 Cu13.22 Ge3,0.010201823,0.015406139,0.0402458,2.139744,0.197109539,11.2282,1.898105069,2.666,0.591873248,119.1079324,104.2360223,1.211,0.266148033,74.4168,10.10787787,2.40E+11,109.1936,146.986887,1977.266514,414.4758749,-0.041322151,0.08517757,0.027328336,0.410320916,0.477173177,0.690441647,0.172250565,0.104656114,-0.112387096
372,Pt51.95Si6.9B22Cu16.65Ge2.5,3.5,Pt51.95 Si6.9 B22 Cu16.65 Ge2.5,0.004448569,0.013068918,0.06335219,2.13096,0.201318933,11.2025,1.843580533,2.686,0.576281343,118.0588665,101.7681473,1.22025,0.256661721,74.199,9.765702841,2.20E+11,121.794,158.5370042,1950.044005,423.2135489,-0.067225035,0.084309133,0.026178178,0.422860993,0.466651695,0.709527328,0.166169735,0.104136253,-0.098596393
373,Pt49.95Si7.4B24Cu16.65Ge2,3.5,Pt49.95 Si7.4 B24 Cu16.65 Ge2,0.012603391,0.017169179,0.058010057,2.12561,0.199247288,11.2625,1.841838393,2.666,0.580855781,114.150634,101.8840224,1.2095,0.261500667,74.564,9.84051179,2.40E+11,121.344,157.7992335,1958.574005,420.7819477,-0.065081824,0.088253779,0.028315305,0.420793225,0.46263769,0.708286334,0.171300582,0.109788069,-0.115159619
374,Pt49.95Si8.4B24Cu16.65Ge1,3.5,Pt49.95 Si8.4 B24 Cu16.65 Ge1,0.01257646,0.017015077,0.05754853,2.12451,0.200861339,11.2625,1.843628918,2.666,0.581420454,113.705089,102.4042272,1.208,0.262048638,74.574,9.865388169,2.40E+11,122.244,157.8071475,1963.330005,412.3157239,-0.068392266,0.08884153,0.028503879,0.416935833,0.465718757,0.689751634,0.171512676,0.111864559,-0.11828035
375,Pt52.5 Si10.5B19.5Cu17.5,3.5,Pt52.5 Si10.5 B19.5 Cu17.5,-0.000752282,0.009223766,0.0585235,2.1268,0.209121008,11.18,1.854653448,2.7,0.570730146,118.5967725,102.1516192,1.22625,0.249082191,73.995,9.677999834,1.95E+11,128.815,160.622291,1944.53475,401.7214495,-0.18645919,0.08370895,0.026078558,0.416934965,0.473277527,0.643661171,0.160022412,0.107278735,-0.090744531
376,Fe76Mo3P10C4B4Si3,3.5,Fe76 Mo3 P10 C4 B4 Si3,0.000662174,0.008311734,0.064475526,1.9152,0.278570938,9.26,4.131015867,2.79,0.63813517,50.1732092,25.21458635,1.3025,0.317114313,66.83,18.49657984,40000000000,76.1736,52.65131157,1791.54,1025.37265,-0.005887182,0.275139665,0.067039106,0.657821229,0,0.508647175,0.112367992,0.105325434,0.105325434
377,Fe65.5Cr4Mo4Ga4P12C5B5.5,3.5,Fe65.5 Cr4 Mo4 Ga4 P12 C5 B5.5,0.002309505,0.012355784,0.04969631,1.92635,0.271084533,9.455,3.888132504,2.735,0.597132737,50.19683044,24.29958451,1.28475,0.295054391,67.995,17.21076641,55000000000,71.39332,48.31277847,1758.6324,1067.282291,-0.170132348,0.26648161,0.07702984,0.65648855,0,0.651775066,0.127287624,0.148300133,-0.004456606
