,pretty_formula,D_max,composition,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,PymatgenData mean X,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev group,PymatgenData mean block,PymatgenData std_dev block,PymatgenData mean atomic_mass,PymatgenData std_dev atomic_mass,PymatgenData mean atomic_radius,PymatgenData std_dev atomic_radius,PymatgenData mean mendeleev_no,PymatgenData std_dev mendeleev_no,PymatgenData mean electrical_resistivity,PymatgenData mean thermal_conductivity,PymatgenData std_dev thermal_conductivity,PymatgenData mean melting_point,PymatgenData std_dev melting_point,Miedema_deltaH_amor,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,Yang omega,Yang delta,Miedema_deltaH_ami,Miedema_deltaH_am_min
467,Fe63.5Mo14C15B6Er1.5,3,Fe63.5 Mo14 C15 B6 Er1.5,0.01523762,0.017406911,0.036607139,1.98795,0.371258644,9.01,3.559655123,2.79,0.548790413,53.852325,38.51635463,1.27425,0.376355829,66.315,19.47694797,60000000000,93.105,44.43249967,2293.395,992.7508594,0.370750294,0.269175109,0.052098408,0.652677279,0.026049204,0.641814373,0.178864488,0.15385114,-0.033667641
468,Fe63C15Mo14Er2B6,3,Fe63 C15 Mo14 Er2 B6,0.013071947,0.016001887,0.033153786,1.985,0.375623957,9.04,3.569871936,2.79,0.545752326,54.409395,39.77419293,1.276,0.376781227,66.12,19.810847,60000000000,92.78,44.78257067,2293.35,987.294862,0.327790817,0.268011527,0.051873199,0.645533141,0.034582133,0.647686169,0.181608332,0.160099501,-0.04562086
469,Mg65Cu25Er10,3,Mg65 Cu25 Er10,0.008895345,0.010857451,0.040824829,1.4505,0.366343317,5.45,6.711524004,1.7,1.34237856,48.41065,60.48428762,1.4875,0.152333337,67.65,21.42116562,1.19E-07,205.5,169.0523968,1119.5925,412.3627336,-0.123421799,0.321100917,0,0.458715596,0.220183486,1.432960385,0.105894456,0.057234416,-0.042791884
470,Ho55 Al25 Co20,3,Ho55 Al25 Co20,-0.000213647,0.006850737,0.01767767,1.455,0.342935915,12.2,2.074251915,2.75,0.561360891,109.2436996,80.9974062,1.545,0.29697353,45.45,32.91056125,4.66E-07,87.55,117.9805389,1540.6675,454.789294,-0.611360694,0.206185567,0.025773196,0.144329897,0.62371134,0.373282232,0.140232733,0.120120824,-0.241103322
471,Fe72B22Y4Ti2,3,Fe72 B22 Y4 Ti2,0.008443335,0.008550573,0.028015659,1.846,0.245610821,8.82,3.775838626,2.78,0.630840062,47.100394,31.01181331,1.295,0.378960227,64.86,20.22831187,2.20E+11,64.66,37.57195941,1931.48,338.8360301,-0.180571984,0.302114804,0.033232628,0.664652568,0,0.614256599,0.165831903,0.098756881,0.098756881
472,Fe72B22Y4Ta2,3,Fe72 B22 Y4 Ta2,0.008356638,0.00918779,0.028015659,1.8452,0.248058136,8.84,3.722269143,2.78,0.630840062,49.7620116,42.14522639,1.296,0.379751896,64.88,20.19763207,2.20E+11,65.36,36.45308572,1958.46,445.77955,-0.168668943,0.289017341,0.031791908,0.638728324,0.040462428,0.629786958,0.166359449,0.099016463,0.099016463
473,Fe72B22Y4Hf2,3,Fe72 B22 Y4 Hf2,0.005864784,0.009832899,0.028015659,1.8412,0.264112614,8.82,3.775838626,2.78,0.630840062,49.712854,41.79215047,1.298,0.382223259,64.84,20.26118876,2.20E+11,64.68,37.51986487,1942.78,360.3040988,-0.200974753,0.289855072,0.031884058,0.637681159,0.04057971,0.606380677,0.169455827,0.10027927,0.099742345
474,(Fe0.712B0.24Y0.048)94Nb6,3,Fe66.928 B22.56 Y4.512 Nb6,0.002602603,0.011877035,0.04257022,1.8360528,0.245539335,8.7224,3.700624446,2.7744,0.593766761,49.40071795,33.24662567,1.296968,0.362169894,64.53568,19.62317759,2.26E+11,63.64064,34.38031162,1988.17136,418.5719618,-0.296356322,0.300012372,0.034888037,0.665099592,0,0.655466329,0.173863671,0.117150032,0.059738693
479,Sc36 Y20 Al24 Co20,3,Sc36 Y20 Al24 Co20,0.011396344,0.015819166,0.041778637,1.496,0.272722807,6.6,4.989071025,2.76,0.498907103,52.22750658,24.78221058,1.506,0.236721604,43.84,30.64567188,3.36E-07,85.56,105.0281102,1590.4728,431.724559,-1.014803826,0.476190476,0.057142857,0.466666667,0,0.498075756,0.123303468,0.196339851,-0.27141364
480,Sc40 Y20 Co20 Al20,3,Sc40 Y20 Co20 Al20,0.005554895,0.012198658,0,1.486,0.275439043,6.2,4.853406593,2.8,0.471404521,52.94648152,24.32873006,1.52,0.231540733,41.4,30.15331196,3.57E-07,76.8,100.7400395,1625.694,408.3769816,-0.934840135,0.476190476,0.047619048,0.476190476,0,0.528337982,0.122084403,0.179509396,-0.185377909
481,Fe64Mo14C15B6Dy1,3,Fe64 Mo14 C15 B6 Dy1,0.017402938,0.018854185,0.040999899,1.9907,0.367492196,8.96,3.507088462,2.79,0.551930475,53.247665,36.91093966,1.2725,0.37593988,66.53,19.04384932,60000000000,93.39,44.2051003,2292.22,999.6282927,0.417807001,0.271137026,0.052478134,0.66180758,0.014577259,0.636010293,0.17602775,0.148601325,-0.023537278
482,Fe63Mo14C15B6Dy2,3,Fe63 Mo14 C15 B6 Dy2,0.013071947,0.016001887,0.033153786,1.9846,0.377064253,9,3.488889778,2.79,0.545752326,54.314215,39.29651332,1.276,0.376781227,66.16,19.65384463,60000000000,92.7,45.03758654,2290.91,989.7371955,0.329781438,0.269565217,0.052173913,0.649275362,0.028985507,0.650018757,0.181608332,0.160192757,-0.046064937
483,Mg65Cu25Dy10,3,Mg65 Cu25 Dy10,0.008895345,0.010857451,0.040824829,1.4485,0.368708611,5.25,6.243808815,1.7,1.34237856,47.93475,58.6377491,1.4875,0.152333337,67.85,20.57719106,1.26E-07,205.1,169.9510122,1107.3925,373.7965353,-0.124943112,0.333333333,0,0.476190476,0.19047619,1.382202809,0.105894456,0.056938107,-0.044274578
