,pretty_formula,D_max,composition,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,PymatgenData mean X,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev group,PymatgenData mean block,PymatgenData std_dev block,PymatgenData mean atomic_mass,PymatgenData std_dev atomic_mass,PymatgenData mean atomic_radius,PymatgenData std_dev atomic_radius,PymatgenData mean mendeleev_no,PymatgenData std_dev mendeleev_no,PymatgenData mean electrical_resistivity,PymatgenData mean thermal_conductivity,PymatgenData std_dev thermal_conductivity,PymatgenData mean melting_point,PymatgenData std_dev melting_point,Miedema_deltaH_amor,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,Yang omega,Yang delta,Miedema_deltaH_ami,Miedema_deltaH_am_min
4780,B5Mo70Si25,0,B5 Mo70 Si25,0.006867805,0.03024694,0.106066017,2.089,0.168129164,8.35,5.389857308,2.7,0.68695714,74.719925,48.87760549,1.3325,0.279721973,64.75,20.03858637,50000000000,136.15,38.1989911,2566.4,781.4485829,-0.041260991,0.242990654,0.102803738,0.654205607,0,0.531302598,0.120966095,0.117863069,0.037111817
4781,B10Mo65Si25,0,B10 Mo65 Si25,-0.017761885,0.017761885,0.035355339,2.083,0.156768101,8.7,5.191386621,2.65,0.67118928,70.463475,49.2859836,1.3025,0.29807551,66.25,19.65985506,1.00E+11,130.55,49.01500073,2539.05,728.3887651,-0.073875496,0.259615385,0.115384615,0.625,0,0.548254355,0.140763657,0.120072822,-0.005651626
4782,C10Ni65Si25,0,C10 Ni65 Si25,0.013811934,0.03331331,0.110397011,1.9715,0.271419992,11.4,2.68475712,2.65,0.67118928,46.373155,24.38754335,1.2225,0.287077283,74.3,14.49547557,0.000251047,110.65,37.86969582,1924.95,879.8619913,0.082645867,0.253164557,0.088607595,0.658227848,0,0.342889544,0.128064329,0.11312546,-0.067952469
4783,C5Ni70Si25,0,C5 Ni70 Si25,0.011429988,0.011429988,0.062360956,1.9395,0.210054835,11.2,2.74782856,2.7,0.68695714,48.70729,23.389819,1.255,0.249606432,72.9,13.85235144,0.00025055,108.2,39.50423103,1821.35,680.9861117,-0.006028944,0.243902439,0.073170732,0.682926829,0,0.319234246,0.099833854,0.101546004,-0.035976131
4809,Co2Ni76P22,0,Co2 Ni76 P22,-0.012850973,0.012850973,0.048989795,1.971,0.190408386,11.08,3.413664442,2.78,0.677727656,52.59987554,18.79061215,1.273,0.237204679,72,15.65486974,7.79E-08,71.21192,61.70391723,1418.446,956.8091221,-0.320900895,0.225225225,0.074324324,0.70045045,0,0.308489115,0.082288903,0.091165185,-0.020556088
4810,Co2Ni81P17,0,Co2 Ni81 P17,-0.00347107,0.018848526,0.037416574,1.957,0.188150229,10.83,3.373874044,2.83,0.669705935,53.98585744,18.56797184,1.2905,0.234397077,70.85,15.46970667,7.65E-08,75.75012,60.97165111,1488.981,945.45216,-0.250365603,0.21905805,0.055859803,0.725082147,0,0.349523692,0.073890232,0.077757162,0.009356578
4811,Co3.5Ni74.5P22,0,Co3.5 Ni74.5 P22,-0.012845479,0.012845479,0.039228674,1.97055,0.185562067,11.065,3.336366185,2.78,0.65882151,52.60347246,18.26951578,1.273,0.230587529,71.955,15.26652677,7.77E-08,71.34692,60.12032662,1419.046,930.6546931,-0.344897456,0.225606317,0.074450085,0.699943598,0,0.333240344,0.082238949,0.093075342,-0.023487602
4812,Co3.5Ni79.5P17,0,Co3.5 Ni79.5 P17,-0.003469166,0.018886567,0.046368092,1.95655,0.18201345,10.815,3.273699465,2.83,0.646251472,53.98945436,17.92055084,1.2905,0.226188015,70.805,14.97538556,7.63E-08,75.88512,58.96982096,1489.581,912.8439797,-0.274578372,0.219418541,0.055951728,0.724629731,0,0.381747458,0.07385002,0.080066314,0.005715443
4813,Co5Ni73P22,0,Co5 Ni73 P22,-0.012839955,0.012839955,0.026246693,1.9701,0.181304142,11.05,3.268939933,2.78,0.642107295,52.60706939,17.80903342,1.273,0.224737553,71.91,14.9258861,7.76E-08,71.48192,58.72826039,1419.646,907.5663029,-0.368283085,0.225988701,0.074576271,0.699435028,0,0.354530655,0.08218875,0.09591693,-0.027995978
4814,Co5Ni78P17,0,Co5 Ni78 P17,-0.003467233,0.018924579,0.057927157,1.9561,0.176710252,10.8,3.187635747,2.83,0.625880834,53.99305129,17.35844737,1.2905,0.219058292,70.76,14.54877492,7.62E-08,76.02012,57.23915616,1490.181,884.5562268,-0.298014415,0.21978022,0.056043956,0.724175824,0,0.409565337,0.073809559,0.083411315,0.000319697
4815,Co7Ni71P22,0,Co7 Ni71 P22,-0.012832543,0.012832543,0.030912062,1.9695,0.176389647,11.03,3.191826151,2.78,0.622662824,52.61186529,17.27362744,1.273,0.217931988,71.85,14.53352856,7.73E-08,71.66192,57.12045357,1420.446,880.7564182,-0.398390045,0.226500566,0.074745187,0.698754247,0,0.379233706,0.082121437,0.100792068,-0.035855587
4816,Co7Ni76P17,0,Co7 Ni76 P17,-0.003464608,0.018975215,0.04027682,1.9555,0.170681402,10.78,3.09050311,2.83,0.602576387,53.99784719,16.71566931,1.2905,0.210901735,70.7,14.0645889,7.59E-08,76.20012,55.27061531,1490.981,852.2421413,-0.327590107,0.220264317,0.056167401,0.723568282,0,0.441972751,0.073755224,0.088798526,-0.008447995
